company_name,topic_v2
Sarson Funds,Other
Secret Network,AI x Crypto
Secret Network,Privacy
Sei Development Foundation,Infrastructure
Sequence,Gaming
SheCrypto,Social Impact
Shibwomen/Queens of Crypto,Ethereum
Shiro Neko,Infrastructure
SingularityNet,AI x Crypto
SingularityNet and ASI Alliance,Other
Sleap.io,Consumer Crypto
Spaces Host,Other
SpearTrades,Creator Economy
SporkDAO and ETHDenver,Layer2
SporkDAO and ETHDenver,Other
Spree.Finance,AI x Crypto
Spree.Finance,Stablecoins
Stocktwits,DeFi
Striped Pig Distillery,Ethereum
Sullivan Hart LLP,Creator Economy
Swarm,Ethereum
Tangem,Consumer Crypto
Tangem Pay,Other
Tether and WAX,Payments
The Crypto Strategy Academy,Ethereum
The Crypto Strategy Academy,Other
ThreeSquared,Security
Thrust,Other
Titl,RWA
Totem Grid,Infrastructure
Transak,Payments
Truflation,Infrastructure
Trusted Smart Chain,RWA
Vault12,Security
Venusventures Inc.,Infrastructure
Virgo Group,RWA
W3BC Media,Other
WOLF Bitcoin,RWA
Wachsman,RWA
Web3 Enabler,Layer2
Web3Lab,Institutional Adoption
White Star Capital,Payments
Women in Blockchain Canada,AI x Crypto
Women in Blockchain Canada,Ethereum
Women in Blockchain Canada,Social Impact
WonderFi,Regulation
XION,Infrastructure
Youth I-t Program CryptoChicks,Ethereum
Youth I-t Program CryptoChicks,Other
ZH Media,Other
Zyphe,AI x Crypto
basketball.fun,Infrastructure
eToro,Security
ether.fi,Payments
